"NoCom","CodeCli","NoEmp","DateCom","ALivAvant","DateEnv","NoMess","Port","Destinataire","AdrLiv","VilleLiv","RegionLiv","CodepostalLiv","PaysLiv"
"10427","PICCO","4","2015-02-27","2015-03-27","2015-04-03","2","156","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Autriche"
"10428","REGGC","7","2015-02-28","2015-03-28","2015-03-07","1","55","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italie"
"10429","HUNGO","3","2015-03-01","2015-04-12","2015-03-10","2","283","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10430","ERNSH","4","2015-03-02","2015-03-16","2015-03-06","1","2294","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10431","BOTTM","4","2015-03-02","2015-03-16","2015-03-10","2","221","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10432","SPLIR","3","2015-03-03","2015-03-17","2015-03-10","2","22","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","Etats-Unis"
"10433","PRINI","3","2015-03-06","2015-04-03","2015-04-04","1","369","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","","1756","Portugal"
"10434","FOLKO","3","2015-03-06","2015-04-03","2015-03-16","2","90","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10435","CONSH","8","2015-03-07","2015-04-18","2015-03-10","2","46","Consolidated Holdings","Berkeley Gardens  12  Brewery","London","","WX1 6LT","Royaume-Uni"
"10436","BLONP","3","2015-03-08","2015-04-05","2015-03-14","2","783","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10437","WARTH","8","2015-03-08","2015-04-05","2015-03-15","1","100","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10438","TOMSP","3","2015-03-09","2015-04-06","2015-03-17","2","41","Toms Spezialitäten","Luisenstr. 48","Münster","","44087","Allemagne"
"10439","MEREP","6","2015-03-10","2015-04-07","2015-03-13","1","20","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10440","SAVEA","4","2015-03-13","2015-04-10","2015-03-31","2","433","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10441","OLDWO","3","2015-03-13","2015-04-24","2015-04-14","2","365","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","Etats-Unis"
"10442","ERNSH","3","2015-03-14","2015-04-11","2015-03-21","2","240","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10443","REGGC","8","2015-03-15","2015-04-12","2015-03-17","1","70","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italie"
"10444","BERGS","3","2015-03-15","2015-04-12","2015-03-24","1","18","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10445","BERGS","3","2015-03-16","2015-04-13","2015-03-23","1","46","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10446","TOMSP","6","2015-03-17","2015-04-14","2015-03-22","1","73","Toms Spezialitäten","Luisenstr. 48","Münster","","44087","Allemagne"
"10447","RICAR","4","2015-03-17","2015-04-14","2015-04-07","2","343","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brésil"
"10448","RANCH","4","2015-03-20","2015-04-17","2015-03-27","2","194","Rancho grande","Av. del Libertador 900","Buenos Aires","","1010","Argentine"
"10449","BLONP","3","2015-03-21","2015-04-18","2015-03-30","2","266","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10450","VICTE","8","2015-03-22","2015-04-19","2015-04-11","2","36","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10451","QUICK","4","2015-03-22","2015-04-05","2015-04-12","1","945","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10452","SAVEA","8","2015-03-23","2015-04-20","2015-03-29","1","701","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10453","AROUT","1","2015-03-24","2015-04-21","2015-03-29","2","127","Around the Horn","Brook Farm  Stratford St. Mary","Colchester","Essex","CO7 6JX","Royaume-Uni"
"10454","LAMAI","4","2015-03-24","2015-04-21","2015-03-28","1","14","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10455","WARTH","8","2015-03-27","2015-05-08","2015-04-03","2","902","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10456","KOENE","8","2015-03-28","2015-05-09","2015-03-31","2","41","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10457","KOENE","2","2015-03-28","2015-04-25","2015-04-03","1","58","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10458","SUPRD","7","2015-03-29","2015-04-26","2015-04-04","1","735","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgique"
"10459","VICTE","4","2015-03-30","2015-04-27","2015-03-31","2","125","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10460","FOLKO","8","2015-03-31","2015-04-28","2015-04-03","1","81","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10461","LILAS","1","2015-03-31","2015-04-28","2015-04-05","1","743","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10462","CONSH","2","2015-04-03","2015-05-01","2015-04-18","1","31","Consolidated Holdings","Berkeley Gardens  12  Brewery","London","","WX1 6LT","Royaume-Uni"
"10463","SUPRD","5","2015-04-04","2015-05-02","2015-04-06","1","74","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgique"
"10464","FURIB","4","2015-04-04","2015-05-02","2015-04-14","2","445","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"10465","VAFFE","1","2015-04-05","2015-05-03","2015-04-14","1","725","Vaffeljernet","Smagsløget 45","Århus","","8200","Danemark"
"10466","COMMI","4","2015-04-06","2015-05-04","2015-04-13","1","60","Comércio Mineiro","Av. dos Lusíadas, 23","São Paulo","SP","05432-043","Brésil"
"10467","MAGAA","8","2015-04-06","2015-05-04","2015-04-11","2","25","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italie"
"10468","KOENE","3","2015-04-07","2015-05-05","2015-04-12","1","221","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10469","WHITC","1","2015-04-10","2015-05-08","2015-04-14","1","301","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","Etats-Unis"
"10470","BONAP","4","2015-04-11","2015-05-09","2015-04-14","2","323","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10471","BSBEV","2","2015-04-11","2015-05-09","2015-04-18","1","228","Bs Beverages","Fauntleroy Circus","London","","EC2 5NT","Royaume-Uni"
"10472","SEVES","8","2015-04-12","2015-05-10","2015-04-19","1","21","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","Royaume-Uni"
"10473","ISLAT","1","2015-04-13","2015-04-27","2015-04-21","1","82","Island Trading","Garden House  Crowther Way","Cowes","Isle of Wigth","PO31 7PJ","Royaume-Uni"
"10474","PERIC","5","2015-04-13","2015-05-11","2015-04-21","2","417","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","5033","Mexique"
"10475","SUPRD","9","2015-04-14","2015-05-12","2015-05-05","1","343","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgique"
"10476","HILAA","8","2015-04-17","2015-05-15","2015-04-24","1","22","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10477","PRINI","5","2015-04-17","2015-05-15","2015-04-25","2","65","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","","1756","Portugal"
"10478","VICTE","2","2015-04-18","2015-05-02","2015-04-26","1","24","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10479","RATTC","3","2015-04-19","2015-05-17","2015-04-21","1","3545","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10480","FOLIG","6","2015-04-20","2015-05-18","2015-04-24","2","7","Folies gourmandes","184, chaussée de Tournai","Lille","","59000","France"
"10481","RICAR","8","2015-04-20","2015-05-18","2015-04-25","2","322","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brésil"
"10482","LAZYK","1","2015-04-21","2015-05-19","2015-05-11","1","37","Lazy K Kountry Store","12 Orchestra Terrace","Walla Walla","WA","99362","Etats-Unis"
"10483","WHITC","7","2015-04-24","2015-05-22","2015-05-26","2","76","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","Etats-Unis"
"10484","BSBEV","3","2015-04-24","2015-05-22","2015-05-02","1","34","Bs Beverages","Fauntleroy Circus","London","","EC2 5NT","Royaume-Uni"
"10485","LINOD","4","2015-04-25","2015-05-09","2015-05-01","2","322","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"10486","HILAA","1","2015-04-26","2015-05-24","2015-05-03","2","153","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10487","QUEEN","2","2015-04-26","2015-05-24","2015-04-28","2","355","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brésil"
"10488","FRANK","8","2015-04-27","2015-05-25","2015-05-03","2","25","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10489","PICCO","6","2015-04-28","2015-05-26","2015-05-10","2","26","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Autriche"
"10490","HILAA","7","2015-05-01","2015-05-29","2015-05-04","2","1051","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10491","FURIB","8","2015-05-01","2015-05-29","2015-05-09","1","85","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"10492","BOTTM","3","2015-05-02","2015-05-30","2015-05-12","1","314","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10493","LAMAI","4","2015-05-03","2015-05-31","2015-05-11","1","53","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10494","COMMI","4","2015-05-03","2015-05-31","2015-05-10","2","330","Comércio Mineiro","Av. dos Lusíadas, 23","São Paulo","SP","05432-043","Brésil"
"10495","LAUGB","3","2015-05-04","2015-06-01","2015-05-12","1","23","Laughing Bacchus Wine Cellars","2319 Elm St.","Vancouver","BC","V3F 2K1","Canada"
"10496","TRADH","7","2015-05-05","2015-06-02","2015-05-08","2","234","Tradição Hipermercados","Av. Inês de Castro, 414","São Paulo","SP","05634-030","Brésil"
"10497","LEHMS","7","2015-05-05","2015-06-02","2015-05-08","1","181","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10498","HILAA","8","2015-05-08","2015-06-05","2015-05-12","2","149","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10499","LILAS","4","2015-05-09","2015-06-06","2015-05-17","2","510","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10500","LAMAI","6","2015-05-10","2015-06-07","2015-05-18","1","213","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10501","BLAUS","9","2015-05-10","2015-06-07","2015-05-17","1","44","Blauer See Delikatessen","Forsterstr. 57","Mannheim","","68306","Allemagne"
"10502","PERIC","2","2015-05-11","2015-06-08","2015-05-30","1","347","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","5033","Mexique"
"10503","HUNGO","6","2015-05-12","2015-06-09","2015-05-17","2","84","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10504","WHITC","4","2015-05-12","2015-06-09","2015-05-19","1","296","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","Etats-Unis"
"10505","MEREP","3","2015-05-15","2015-06-12","2015-05-22","1","36","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10506","KOENE","9","2015-05-16","2015-06-13","2015-06-02","2","106","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10507","ANTON","7","2015-05-16","2015-06-13","2015-05-23","1","237","Antonio Moreno Taquería","Mataderos  2312","México D.F.","","5023","Mexique"
"10508","OTTIK","1","2015-05-17","2015-06-14","2015-06-13","2","25","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Allemagne"
"10509","BLAUS","4","2015-05-18","2015-06-15","2015-05-30","1","1","Blauer See Delikatessen","Forsterstr. 57","Mannheim","","68306","Allemagne"
"10510","SAVEA","6","2015-05-19","2015-06-16","2015-05-29","1","1838","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10511","BONAP","4","2015-05-19","2015-06-16","2015-05-22","1","1753","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10512","FAMIA","7","2015-05-22","2015-06-19","2015-05-25","2","18","Familia Arquibaldo","Rua Orós, 92","São Paulo","SP","05442-030","Brésil"
"10513","WANDK","7","2015-05-23","2015-07-04","2015-05-29","1","528","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Allemagne"
"10514","ERNSH","3","2015-05-23","2015-06-20","2015-06-16","2","3950","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10515","QUICK","2","2015-05-24","2015-06-07","2015-06-23","1","1022","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10516","HUNGO","2","2015-05-25","2015-06-22","2015-06-01","1","314","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10517","NORTS","3","2015-05-25","2015-06-22","2015-05-30","1","160","North/South","South House  300 Queensbridge","London","","SW7 1RZ","Royaume-Uni"
"10518","TORTU","4","2015-05-26","2015-06-09","2015-06-05","2","1091","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","5033","Mexique"
"10519","CHOPS","6","2015-05-29","2015-06-26","2015-06-01","1","459","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Suisse"
"10520","SANTG","7","2015-05-30","2015-06-27","2015-06-01","1","67","Santé Gourmet","Erling Skakkes gate 78","Stavern","","4110","Norvège"
"10521","CACTU","8","2015-05-30","2015-06-27","2015-06-02","2","86","Cactus Comidas para llevar","Cerrito 333","Buenos Aires","","1010","Argentine"
"10522","LEHMS","4","2015-05-31","2015-06-28","2015-06-06","1","227","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10523","SEVES","7","2015-06-01","2015-06-29","2015-06-30","2","388","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","Royaume-Uni"
"10524","BERGS","1","2015-06-01","2015-06-29","2015-06-07","2","1224","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10525","BONAP","1","2015-06-02","2015-06-30","2015-06-23","2","55","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10526","WARTH","4","2015-06-05","2015-07-03","2015-06-15","2","293","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10527","QUICK","7","2015-06-05","2015-07-03","2015-06-07","1","210","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10528","GREAL","6","2015-06-06","2015-06-20","2015-06-09","2","17","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","Etats-Unis"
"10529","MAISD","5","2015-06-07","2015-07-05","2015-06-09","2","333","Maison Dewey","Rue Joseph-Bens 532","Bruxelles","","B-1180","Belgique"
"10530","PICCO","3","2015-06-08","2015-07-06","2015-06-12","2","1696","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Autriche"
"10531","OCEAN","7","2015-06-08","2015-07-06","2015-06-19","1","41","Océano Atlántico Ltda.","Ing. Gustavo Moncada 8585  Piso 20-A","Buenos Aires","","1010","Argentine"
"10532","EASTC","7","2015-06-09","2015-07-07","2015-06-12","1","372","Eastern Connection","35 King George","London","","WX3 6FW","Royaume-Uni"
"10533","FOLKO","8","2015-06-12","2015-07-10","2015-06-22","1","940","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10534","LEHMS","8","2015-06-12","2015-07-10","2015-06-14","2","140","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10535","ANTON","4","2015-06-13","2015-07-11","2015-06-21","1","78","Antonio Moreno Taquería","Mataderos  2312","México D.F.","","5023","Mexique"
"10536","LEHMS","3","2015-06-14","2015-07-12","2015-07-07","2","294","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10537","RICSU","1","2015-06-14","2015-06-28","2015-06-19","1","394","Richter Supermarkt","Starenweg 5","Genève","","1204","Suisse"
"10538","BSBEV","9","2015-06-15","2015-07-13","2015-06-16","1","24","Bs Beverages","Fauntleroy Circus","London","","EC2 5NT","Royaume-Uni"
"10539","BSBEV","6","2015-06-16","2015-07-14","2015-06-23","1","62","Bs Beverages","Fauntleroy Circus","London","","EC2 5NT","Royaume-Uni"
"10540","QUICK","3","2015-06-19","2015-07-17","2015-07-14","1","5038","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10541","HANAR","2","2015-06-19","2015-07-17","2015-06-29","1","343","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brésil"
"10542","KOENE","1","2015-06-20","2015-07-18","2015-06-26","1","55","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10543","LILAS","8","2015-06-21","2015-07-19","2015-06-23","2","241","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10544","LONEP","4","2015-06-21","2015-07-19","2015-06-30","1","125","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","Etats-Unis"
"10545","LAZYK","8","2015-06-22","2015-07-20","2015-07-27","2","60","Lazy K Kountry Store","12 Orchestra Terrace","Walla Walla","WA","99362","Etats-Unis"
"10546","VICTE","1","2015-06-23","2015-07-21","2015-06-27","1","974","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10547","SEVES","3","2015-06-23","2015-07-21","2015-07-03","2","892","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","Royaume-Uni"
"10548","TOMSP","3","2015-06-26","2015-07-24","2015-07-03","2","7","Toms Spezialitäten","Luisenstr. 48","Münster","","44087","Allemagne"
"10549","QUICK","5","2015-06-27","2015-07-11","2015-06-30","1","856","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10550","GODOS","7","2015-06-28","2015-07-26","2015-07-07","1","22","Godos Cocina Típica","C/ Romero, 33","Sevilla","","41101","Espagne"
"10551","FURIB","4","2015-06-28","2015-08-09","2015-07-07","1","365","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"10552","HILAA","2","2015-06-29","2015-07-27","2015-07-06","1","416","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10553","WARTH","2","2015-06-30","2015-07-28","2015-07-04","2","747","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10554","OTTIK","4","2015-06-30","2015-07-28","2015-07-06","1","605","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Allemagne"
"10555","SAVEA","6","2015-07-03","2015-07-31","2015-07-05","1","1262","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10556","SIMOB","2","2015-07-04","2015-08-15","2015-07-14","1","49","Simons bistro","Vinbæltet 34","København","","1734","Danemark"
"10557","LEHMS","9","2015-07-04","2015-07-18","2015-07-07","2","484","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10558","AROUT","1","2015-07-05","2015-08-02","2015-07-11","2","365","Around the Horn","Brook Farm  Stratford St. Mary","Colchester","Essex","CO7 6JX","Royaume-Uni"
"10559","BLONP","6","2015-07-06","2015-08-03","2015-07-14","1","40","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10560","FRANK","8","2015-07-07","2015-08-04","2015-07-10","1","183","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10561","FOLKO","2","2015-07-07","2015-08-04","2015-07-10","2","1211","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10562","REGGC","1","2015-07-10","2015-08-07","2015-07-13","1","115","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italie"
"10563","RICAR","2","2015-07-11","2015-08-22","2015-07-25","2","302","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brésil"
"10564","RATTC","4","2015-07-11","2015-08-08","2015-07-17","1","69","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10565","MEREP","8","2015-07-12","2015-08-09","2015-07-19","2","36","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10566","BLONP","9","2015-07-13","2015-08-10","2015-07-19","1","442","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10567","HUNGO","1","2015-07-13","2015-08-10","2015-07-18","1","170","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10568","GALED","3","2015-07-14","2015-08-11","2015-08-09","1","33","Galería del gastronómo","Rambla de Cataluña, 23","Barcelona","","8022","Espagne"
"10569","RATTC","5","2015-07-17","2015-08-14","2015-08-11","1","295","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10570","MEREP","3","2015-07-18","2015-08-15","2015-07-20","1","945","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10571","ERNSH","8","2015-07-18","2015-08-29","2015-08-04","1","130","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10572","BERGS","3","2015-07-19","2015-08-16","2015-07-26","2","582","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10573","ANTON","7","2015-07-20","2015-08-17","2015-07-21","1","424","Antonio Moreno Taquería","Mataderos  2312","México D.F.","","5023","Mexique"
"10574","TRAIH","4","2015-07-20","2015-08-17","2015-07-31","2","188","Trails Head Gourmet Provisioners","722 DaVinci Blvd.","Kirkland","WA","98034","Etats-Unis"
"10575","MORGK","5","2015-07-21","2015-08-04","2015-07-31","1","637","Morgenstern Gesundkost","Heerstr. 22","Leipzig","","4179","Allemagne"
"10576","TORTU","3","2015-07-24","2015-08-07","2015-07-31","1","93","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","5033","Mexique"
"10577","TRAIH","9","2015-07-24","2015-09-04","2015-07-31","2","127","Trails Head Gourmet Provisioners","722 DaVinci Blvd.","Kirkland","WA","98034","Etats-Unis"
"10578","BSBEV","4","2015-07-25","2015-08-22","2015-08-25","1","148","Bs Beverages","Fauntleroy Circus","London","","EC2 5NT","Royaume-Uni"
"10579","LETSS","1","2015-07-26","2015-08-23","2015-08-04","2","69","Lets Stop N Shop","87 Polk St.  Suite 5","San Francisco","CA","94117","Etats-Unis"
"10580","OTTIK","4","2015-07-27","2015-08-24","2015-08-01","1","379","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Allemagne"
"10581","FAMIA","3","2015-07-27","2015-08-24","2015-08-02","1","15","Familia Arquibaldo","Rua Orós, 92","São Paulo","SP","05442-030","Brésil"
"10582","BLAUS","3","2015-07-28","2015-08-25","2015-08-14","2","139","Blauer See Delikatessen","Forsterstr. 57","Mannheim","","68306","Allemagne"
"10583","WARTH","2","2015-07-31","2015-08-28","2015-08-04","2","36","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10584","BLONP","4","2015-07-31","2015-08-28","2015-08-04","1","296","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10585","WELLI","7","2015-08-01","2015-08-29","2015-08-10","1","67","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brésil"
"10586","REGGC","9","2015-08-02","2015-08-30","2015-08-09","1","2","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italie"
"10587","QUEDE","1","2015-08-02","2015-08-30","2015-08-09","1","313","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brésil"
"10588","QUICK","2","2015-08-03","2015-08-31","2015-08-10","1","973","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10589","GREAL","8","2015-08-04","2015-09-01","2015-08-14","2","22","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","Etats-Unis"
"10590","MEREP","4","2015-08-07","2015-09-04","2015-08-14","1","224","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10591","VAFFE","1","2015-08-07","2015-08-21","2015-08-16","1","280","Vaffeljernet","Smagsløget 45","Århus","","8200","Danemark"
"10592","LEHMS","3","2015-08-08","2015-09-05","2015-08-16","1","160","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10593","LEHMS","7","2015-08-09","2015-09-06","2015-09-13","2","871","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10594","OLDWO","3","2015-08-09","2015-09-06","2015-08-16","2","26","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","Etats-Unis"
"10595","ERNSH","2","2015-08-10","2015-09-07","2015-08-14","1","484","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10596","WHITC","8","2015-08-11","2015-09-08","2015-09-12","1","82","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","Etats-Unis"
"10597","PICCO","7","2015-08-11","2015-09-08","2015-08-18","1","176","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Autriche"
"10598","RATTC","1","2015-08-14","2015-09-11","2015-08-18","1","222","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10599","BSBEV","6","2015-08-15","2015-09-26","2015-08-21","1","150","Bs Beverages","Fauntleroy Circus","London","","EC2 5NT","Royaume-Uni"
"10600","HUNGC","4","2015-08-16","2015-09-13","2015-08-21","1","226","Hungry Coyote Import Store","City Center Plaza  516 Main St.","Elgin","OR","97827","Etats-Unis"
"10601","HILAA","7","2015-08-16","2015-09-27","2015-08-22","1","292","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10602","VAFFE","8","2015-08-17","2015-09-14","2015-08-22","2","15","Vaffeljernet","Smagsløget 45","Århus","","8200","Danemark"
"10603","SAVEA","8","2015-08-18","2015-09-15","2015-09-08","2","244","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10604","FURIB","1","2015-08-18","2015-09-15","2015-08-29","1","37","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"10605","MEREP","1","2015-08-21","2015-09-18","2015-08-29","2","1896","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
